Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,773804,-,-,-,44.85,-93.46,0,263,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,Dew Point,Temperature,Wind Direction,Wind Speed,Pressure
2008,1,1,0,30,0,-13.3,-11.200000000000001,318,3.8000000000000003,986
2008,1,1,1,30,0,-13.700000000000001,-11.4,317,3.9000000000000004,987
2008,1,1,2,30,0,-13.700000000000001,-11.200000000000001,317,4.3,987
2008,1,1,3,30,0,-13.5,-11.100000000000001,319,4.7,988
2008,1,1,4,30,0,-13.5,-11.200000000000001,319,4.800000000000001,988
2008,1,1,5,30,0,-13.700000000000001,-11.5,319,4.800000000000001,989
2008,1,1,6,30,0,-14,-11.700000000000001,319,4.9,989
2008,1,1,7,30,0,-14.4,-12.200000000000001,319,5.1000000000000005,990
2008,1,1,8,30,0,-15,-12.8,319,5.2,991
2008,1,1,9,30,0,-15.8,-13.8,317,5.2,992
2008,1,1,10,30,0,-17.1,-15.4,315,5,992
2008,1,1,11,30,0,-18.900000000000002,-17.400000000000002,312,4.7,993
2008,1,1,12,30,0,-21,-19.1,310,4.7,994
2008,1,1,13,30,0,-22.5,-19.8,309,5,995
2008,1,1,14,30,68,-22.700000000000003,-19.400000000000002,309,5.5,996
2008,1,1,15,30,114,-21.900000000000002,-18.3,311,6,997
2008,1,1,16,30,322,-21,-17.1,314,6.300000000000001,997
2008,1,1,17,30,387,-20.1,-16.2,316,6.4,997
2008,1,1,18,30,402,-19.400000000000002,-15.5,318,6.300000000000001,998
2008,1,1,19,30,362,-18.8,-15,320,6.2,998
2008,1,1,20,30,270,-18.3,-14.700000000000001,321,5.9,999
2008,1,1,21,30,142,-18.1,-14.9,321,5.5,999
2008,1,1,22,30,19,-18.2,-15.4,320,5.300000000000001,1000
2008,1,1,23,30,0,-18.7,-15.8,320,5.2,1000
